,positive
264,['rt @dmvmusicplug: happy birthday len bias! he would have turned 58 today 🙏🏽 https://t.co/l5nvrnvxbk']
265,['rt @princessikigaii: happy titty tuesday 🍒💕 https://t.co/psubbsmxiz']
266,"['@theofficiala7x @drinkswjohnny @rafacore happy birthday, johnny!']"
267,['@rishivjk happy birthday rvk 👊']
268,['@tomaselli_nick @ball_ops happy anniversary 💜💜']
269,['nice 👌 happy holidays 🎄 @pulte https://t.co/qmw8ymhzge']
270,"['rt @toriious: if you can’t be happy for the bride, you should’ve just stayed at home! wow 😒😳 https://t.co/yjiryryhez']"
271,['rt @luckytheheaddr: happy halloween 🎃 https://t.co/7dec1g1kjm']
272,['still not a fan of this but mans happy and living his life so blessings to a hofer']
273,"['rt @qubismnft: we are happy to announce, that we will host our public sale on pinksale! https://t.co/x3lchyl6fm public sale will start on…']"
274,['rt @bambam1a: my friend yugyeom happy birthday🎉❤️ i miss you and i love so much as you can see in this photo https://t.co/akkct5toic']
275,['@argolifer @torontoargos @cfl happy birthday young fella 😉🏈🇨🇦🇬🇧']
276,"['rt @w01f5b4n3v3rv41: ✅@xxv3rv41n✅friday is my second favorite ""f"" word! my first is food! yeah, definitely food! happy friday and have a gr…']"
277,['@amaristudy happy birthday!!&lt;33']
278,['rt @mrmacaronii: omo the way i’m so happy about psquare!!!! haaaaa!!!!! peter and paul dem be one no be two!!! 🕺🏾🕺🏾🍾🎉🎊😍❤️❤️']
279,['i’m so happy with life right now 🥰']
280,['@bhzkid23 happy birthday day fella💪🏾💪🏾good luck tomorrow on y’all journey 💪🏾👍🏾']
281,['rt @mekaremadness: @chrisra7en happy birthdaaay 🥳🥳🎂']
282,['rt @blink182: happy birthday kid 🎂 https://t.co/buqhhorjba']
283,['rt @boo15733919: to all those people who 👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻 hope your happy .. ppc/fringe parties we canadians had 1 chance to get ri…']
284,['rt @dixincider5: happy tuesday 💕 https://t.co/ez9aa8uoys']
